county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Autauga AL,1863,28,92.42336515,15.45,50.2,38.0,6.3,13.2,,604.49,"55,869",52.9,47.5,37.1,38.8
Baldwin AL,6141,64,110.1258954,13.44,51.85,33.7,9.3,16.9,,2027.08,"223,234",54.1,49.6,33.5,33.9
Barbour AL,927,9,27.28971136,19.36,40.35,46.6,6.4,12.4,,904.59,"24,686",44.9,35.8,41.5,51.6
Bibb AL,708,12,35.80175859,16.68,40.05,43.0,5.5,11.4,,625.5,"22,394",42.7,37.4,40.7,45.2
Blount AL,1681,16,88.87420272,15.06,40.35,40.0,5.0,10.3,,650.65,"57,826",43.1,37.6,38.4,41.6
Bullock AL,619,16,16.13294788,23.33,38.75,49.0,7.0,14.1,,626.11,"10,101",43.0,34.5,41.9,56.0
Butler AL,932,40,24.99775061,18.87,42.7,45.1,6.0,12.0,,777.99,"19,448",48.0,37.4,39.8,50.3
Calhoun AL,3752,45,185.5229852,16.51,44.7,39.7,5.3,11.8,,612.35,"113,605",48.7,40.7,38.0,41.4
Chambers AL,1222,43,55.13388046,18.45,40.8,44.2,7.0,13.4,,603.15,"33,254",46.9,34.7,40.7,47.7
Cherokee AL,654,13,43.66,15.27,42.8,40.6,4.8,9.8,,600,"26,196",44.8,40.8,39.5,41.7
Chilton AL,1684,30,63.39611872,15.56,41.05,43.1,5.0,10.8,,700.8,"44,428",43.9,38.2,41.8,44.3
Choctaw AL,369,12,13.67017407,19.38,38.6,45.6,5.1,10.5,,920.91,"12,589",43.6,33.6,41.2,49.9
Clarke AL,1184,16,18.85837458,18.72,42.95,44.2,5.1,11.5,,1252.6,"23,622",48.5,37.4,41.8,46.6
Clay AL,627,9,21.83813217,15.75,41.55,42.3,4.7,9.9,,606.05,"13,235",44.1,39.0,39.2,45.4
Cleburne AL,449,6,26.57469789,15.11,44.05,39.4,5.1,10.3,,561.06,"14,910",46.4,41.7,37.4,41.3
Coffee AL,1497,6,76.91471228,15.64,47.25,39.4,6.7,13.0,,680.52,"52,342",47.8,46.7,39.1,39.7
Colbert AL,1771,27,88.57550588,16.54,46.65,40.9,5.4,11.9,,623.66,"55,241",51.2,42.1,40.2,41.6
Conecuh AL,542,12,14.15351052,19.90,39,45.1,6.9,13.4,,852.58,"12,067",44.5,33.5,40.6,49.5
Coosa AL,183,3,16.00066025,17.71,42,45.0,6.0,11.6,,666.41,"10,663",45.6,38.4,41.6,48.4
Covington AL,1514,28,35.48924757,15.23,43.15,40.6,6.4,12.7,,1043.95,"37,049",46.0,40.3,40.9,40.3
Crenshaw AL,554,30,22.54341883,17.27,45.75,42.7,5.6,10.8,,610.91,"13,772",47.7,43.8,40.6,44.8
Cullman AL,2001,21,110.9715709,15.03,43.25,39.0,3.9,9.6,,754.86,"83,768",44.7,41.8,37.4,40.5
Dale AL,1527,48,87.38271254,16.78,49.6,41.6,6.5,12.8,,562.72,"49,172",55.0,44.2,39.1,44.1
Dallas AL,1817,26,37.44086325,21.94,39.85,48.1,5.2,13.1,,993.46,"37,196",44.2,35.5,40.0,56.2
DeKalb AL,2709,23,91.83521465,16.01,41.25,39.9,4.6,9.7,,778.71,"71,513",41.9,40.6,38.9,40.9
Elmore AL,2889,50,123.5568877,15.67,49.75,38.1,7.1,13.4,,657.26,"81,209",54.9,44.6,36.9,39.3
Escambia AL,1670,27,38.43805087,17.65,42.75,42.9,6.2,12.2,,953.04,"36,633",47.9,37.6,41.6,44.1
Etowah AL,3726,45,186.345001,16.24,44.8,38.9,5.2,12.4,,548.81,"102,268",48.7,40.9,38.1,39.6
