state,county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012* (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption* (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption* (%)2012 (Binge- past 30 days >4 drinks one occasion >5 for men),Population,LandArea (mi^2),"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Alabama,Autauga AL,1863,28,92.42336515,15.45,50.2,38,6.3,13.2,"55,869",604.49,52.9,47.5,37.1,38.8
Alabama,Baldwin AL,6141,64,110.1258954,13.44,51.85,33.7,9.3,16.9,"223,234",2027.08,54.1,49.6,33.5,33.9
Alabama,Barbour AL,927,9,27.28971136,19.36,40.35,46.6,6.4,12.4,"24,686",904.59,44.9,35.8,41.5,51.6
Alabama,Bibb AL,708,12,35.80175859,16.68,40.05,43,5.5,11.4,"22,394",625.5,42.7,37.4,40.7,45.2
Alabama,Blount AL,1681,16,88.87420272,15.06,40.35,40,5,10.3,"57,826",650.65,43.1,37.6,38.4,41.6
Alabama,Bullock AL,619,16,16.13294788,23.33,38.75,49,7,14.1,"10,101",626.11,43,34.5,41.9,56
Alabama,Butler AL,932,40,24.99775061,18.87,42.7,45.1,6,12,"19,448",777.99,48,37.4,39.8,50.3
Alabama,Calhoun AL,3752,45,185.5229852,16.51,44.7,39.7,5.3,11.8,"113,605",612.35,48.7,40.7,38,41.4
Alabama,Chambers AL,1222,43,55.13388046,18.45,40.8,44.2,7,13.4,"33,254",603.15,46.9,34.7,40.7,47.7
Alabama,Cherokee AL,654,13,43.66,15.27,42.8,40.6,4.8,9.8,"26,196",600,44.8,40.8,39.5,41.7
Alabama,Chilton AL,1684,30,63.39611872,15.56,41.05,43.1,5,10.8,"44,428",700.8,43.9,38.2,41.8,44.3
Alabama,Choctaw AL,369,12,13.67017407,19.38,38.6,45.6,5.1,10.5,"12,589",920.91,43.6,33.6,41.2,49.9
Alabama,Clarke AL,1184,16,18.85837458,18.72,42.95,44.2,5.1,11.5,"23,622",1252.6,48.5,37.4,41.8,46.6
Alabama,Clay AL,627,9,21.83813217,15.75,41.55,42.3,4.7,9.9,"13,235",606.05,44.1,39,39.2,45.4
Alabama,Cleburne AL,449,6,26.57469789,15.11,44.05,39.4,5.1,10.3,"14,910",561.06,46.4,41.7,37.4,41.3
Alabama,Coffee AL,1497,6,76.91471228,15.64,47.25,39.4,6.7,13,"52,342",680.52,47.8,46.7,39.1,39.7
Alabama,Colbert AL,1771,27,88.57550588,16.54,46.65,40.9,5.4,11.9,"55,241",623.66,51.2,42.1,40.2,41.6
Alabama,Conecuh AL,542,12,14.15351052,19.9,39,45.1,6.9,13.4,"12,067",852.58,44.5,33.5,40.6,49.5
Alabama,Coosa AL,183,3,16.00066025,17.71,42,45,6,11.6,"10,663",666.41,45.6,38.4,41.6,48.4
Alabama,Covington AL,1514,28,35.48924757,15.23,43.15,40.6,6.4,12.7,"37,049",1043.95,46,40.3,40.9,40.3
Alabama,Crenshaw AL,554,30,22.54341883,17.27,45.75,42.7,5.6,10.8,"13,772",610.91,47.7,43.8,40.6,44.8
Alabama,Cullman AL,2001,21,110.9715709,15.03,43.25,39,3.9,9.6,"83,768",754.86,44.7,41.8,37.4,40.5
Alabama,Dale AL,1527,48,87.38271254,16.78,49.6,41.6,6.5,12.8,"49,172",562.72,55,44.2,39.1,44.1
Alabama,Dallas AL,1817,26,37.44086325,21.94,39.85,48.1,5.2,13.1,"37,196",993.46,44.2,35.5,40,56.2
Alabama,DeKalb AL,2709,23,91.83521465,16.01,41.25,39.9,4.6,9.7,"71,513",778.71,41.9,40.6,38.9,40.9
Alabama,Elmore AL,2889,50,123.5568877,15.67,49.75,38.1,7.1,13.4,"81,209",657.26,54.9,44.6,36.9,39.3
Alabama,Escambia AL,1670,27,38.43805087,17.65,42.75,42.9,6.2,12.2,"36,633",953.04,47.9,37.6,41.6,44.1
Alabama,Etowah AL,3726,45,186.345001,16.24,44.8,38.9,5.2,12.4,"102,268",548.81,48.7,40.9,38.1,39.6
Alabama,Fayette AL,490,10,25.90168102,16.35,41.1,43.2,4.6,10.3,"16,302",629.38,44.6,37.6,42.4,43.9
Alabama,Franklin AL,1871,30,48.50668935,16.23,42.15,38.8,4.1,9.5,"31,362",646.55,45.4,38.9,38.4,39.1
Alabama,Geneva AL,765,6,45.37619179,15.88,44.7,42.3,6.4,12,"26,271",578.96,44.6,44.8,41.4,43.2
Alabama,Greene AL,313,15,12.28958015,23.7,37.7,50.9,6.7,12.2,"8,111",659.99,42.8,32.6,43.8,58
Alabama,Hale AL,682,28,22.31615183,20.44,37.3,49.5,6.3,12,"14,651",656.52,41.2,33.4,43.5,55.5
Alabama,Henry AL,579,5,30.27024174,16.77,46.55,44.1,6.6,12.2,"17,205",568.38,50.3,42.8,40.8,47.4
Alabama,Houston AL,3428,25,182.0185316,15.61,46.3,40.4,6.3,14.1,"105,882",581.71,47.8,44.8,39.5,41.2
